# Expression Atlas
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 5 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-112057
# Timestamp: Thu, 15-Aug-2024 02:32:47
Gene ID	Gene Name	'Crohn disease' vs 'normal' .foldChange	'Crohn disease' vs 'normal'.pValue	'oligoarticular juvenile idiopathic arthritis' vs 'normal' .foldChange	'oligoarticular juvenile idiopathic arthritis' vs 'normal'.pValue	'polyarticular juvenile idiopathic arthritis' vs 'normal' .foldChange	'polyarticular juvenile idiopathic arthritis' vs 'normal'.pValue	'systemic-onset juvenile idiopathic arthritis' vs 'normal' .foldChange	'systemic-onset juvenile idiopathic arthritis' vs 'normal'.pValue	'ulcerative colitis (disease)' vs 'normal' .foldChange	'ulcerative colitis (disease)' vs 'normal'.pValue
ENSG00000002745	WNT16	-0.4	0.201544183114112	0.2	0.609633661102246	-0.2	0.579627364899401	-0.1	0.889334356703942	-0.2	0.724801662693435
ENSG00000002822	MAD1L1	-0.3	0.227081677140398	-0.2	0.525858455101814	-0.4	0.0364951982375261	-0.3	0.284084848992707	-0.6	0.00109095918290045
ENSG00000002834	LASP1	0.4	0.0208039690262102			0.1	0.482299221282736	0.3	0.152188107714958	0.5	0.00124224350463882
ENSG00000002919	SNX11	0.4	0.0108525471314737	0.1	0.836968531647018	0.2	0.213933613701878	0.4	0.0954199820972946	0.6	2.02362076433169E-4
ENSG00000002933	TMEM176A	0.4	0.389547308297188	0.2	0.624715543423372	0.4	0.206067385895101	0.4	0.472358740877725	1.0	0.0735651457089251
ENSG00000003056	M6PR	-0.1	0.13115421058516	-0.1	0.129144363551551	-0.2	0.0398844838990142	-0.2	0.0491239893529682	-0.1	0.175752631290333
ENSG00000003096	KLHL13	-0.2	0.426722790429207			-0.1	0.772861317488717	-0.2	0.668628618244336	-0.4	0.334681857719824
ENSG00000003137	CYP26B1	0.2	0.445339104628674	0.1	0.637207301238084	0.2	0.384290474806145	0.3	0.378028563315478	0.4	0.314143987019107
ENSG00000003147	ICA1	-0.1	0.793499827077548	-0.3	0.212372812635913			0.3	0.321820934195158	0.2	0.54159230054023
ENSG00000003249	DBNDD1			0.1	0.82607766899724	-0.1	0.717254673805197	-0.2	0.532762497699558	-0.2	0.583642214302192
ENSG00000003393	ALS2			0.1	0.49753134026205	0.1	0.463852335292453	0.1	0.628440778102893	0.1	0.611880532473395
ENSG00000003400	CASP10	0.1	0.64476492976899	0.1	0.652525816079032	0.1	0.393896631760827	0.2	0.230041219751745	0.1	0.428754245597248
ENSG00000003402	CFLAR	0.5	0.0164240643945258	0.2	0.572984971395873	0.4	0.0628096032575934	0.8	0.00919094157870163	0.7	0.00213696189974631
ENSG00000003436	TFPI	0.2	0.588601723739774	-0.1	0.836806526030671	0.4	0.215799675540868	0.6	0.154970473420978	0.5	0.173961945234192
ENSG00000003509	NDUFAF7	0.1	0.601537166893731			0.1	0.558430670895399	0.1	0.518790191104487	0.3	0.0757353966984348
ENSG00000003756	RBM5			0.1	0.525359026114631	0.2	0.0859374234255507	0.2	0.195240503575227		
ENSG00000003987	MTMR7					0.1	0.572264902219152	0.1	0.691704530276197	0.1	0.883137425175266
ENSG00000004059	ARF5	0.2	0.271117439307081	-0.1	0.539311310051543	-0.1	0.685488918949898	0.1	0.733391140437329	0.1	0.388398292661249
ENSG00000004139	SARM1	-0.5	0.00405479331851959	-0.1	0.72494757947237	-0.2	0.126574350569873	-0.5	0.0375798257715304	-0.7	9.02576445894312E-4
ENSG00000004142	POLDIP2	0.1	0.425452634586873	-0.1	0.36285060099034	-0.1	0.346502238866788			0.1	0.178484699374715
ENSG00000004399	PLXND1	-0.1	0.473473445310544	-0.3	0.151395724219843	-0.2	0.177868872338557	-0.4	0.111490223736849	-0.2	0.223323799670287
ENSG00000004455	AK2									0.1	0.598970603720049
ENSG00000004468	CD38	0.1	0.496848084788731	0.3	0.418928381634441			0.4	0.191874029439386	0.1	0.736402275896664
ENSG00000004478	FKBP4	-0.2	0.237407395841845			-0.2	0.148027011836517	-0.1	0.643909126881432		
ENSG00000004487	KDM1A	-0.2	0.0708848559221148	-0.1	0.710587162733772	-0.1	0.298503033655536	-0.2	0.229215534553494	-0.2	0.0108486177175767
ENSG00000004534	RBM6	-0.2	0.122525816925489	-0.1	0.629557318463327			-0.1	0.44617564619549	-0.3	0.0405176499382423
ENSG00000004660	CAMKK1	0.3	0.322761296202652	-0.1	0.779236686328032	0.1	0.66566585698387	0.4	0.259660389016279	0.3	0.395737057923406
ENSG00000004700	RECQL	-0.1	0.642662558607484	0.1	0.798626567155376	-0.1	0.713041980068009			-0.1	0.350428715543999
ENSG00000004766	VPS50			0.1	0.513308757520202	0.1	0.719376610566939				
ENSG00000004777	ARHGAP33	-0.3	0.102094523315316	-0.1	0.901656104361468	-0.2	0.298258225350327	-0.4	0.105018331367744	-0.4	0.0856542507378215
ENSG00000004779	NDUFAB1	0.1	0.636704324152457			-0.1	0.386251125524629			0.1	0.597648203690677
ENSG00000004799	PDK4	0.1	0.816877608620928	-0.4	0.125444545817563	-0.4	0.0933285255376017	-0.4	0.276225472162617	0.1	0.765045355241574
ENSG00000004809	SLC22A16	0.6	0.0483877188729832	0.1	0.88359236590928	0.4	0.177318427484992	0.7	0.0885106155400049	0.8	0.0484436973884738
ENSG00000004838	ZMYND10	-0.4	0.0642697613816864	-0.2	0.354516859333493	-0.2	0.381240544907552	-0.3	0.212219486032701	-0.5	0.0888116908309272
ENSG00000004864	SLC25A13	0.1	0.590318136251281					0.1	0.471495493562716	0.1	0.589316160310104
ENSG00000004866	ST7	0.2	0.0941665421450436	-0.2	0.29507616085396			-0.1	0.776714546596674	0.2	0.144312632227352
ENSG00000004897	CDC27	0.2	0.0525794249927762	0.2	0.248212790488968	0.1	0.136099746964539	0.3	0.0380243814144614	0.3	0.00188396504966913
ENSG00000004939	SLC4A1	0.8	0.040992312335876	0.1	0.822682217783816	0.3	0.362281720222081	1.1	0.0189137304329574	1.3	0.00436426315702945
ENSG00000004961	HCCS	0.2	0.0816701110184015					0.1	0.693619858191347	0.2	0.0678083967820788
ENSG00000004975	DVL2	-0.3	0.00795992937442143	-0.1	0.586875882741558	-0.3	0.0646520776935349	-0.3	0.0104742963806605	-0.4	0.00146525915077311
ENSG00000005001	PRSS22	-1.0	0.00895770622789427					-0.6	0.19159937319855	-1.1	0.033335801113769
ENSG00000005007	UPF1	0.1	0.465530667771147					0.2	0.418463105543221	0.1	0.693277188785722
ENSG00000005020	SKAP2	0.7	0.0031416383124302	0.2	0.42050897939193	0.4	0.0372692190555206	0.6	0.0240034120201217	1.0	3.91819996973162E-5
ENSG00000005022	SLC25A5	0.2	0.135394505984597			-0.1	0.301893350997441			0.1	0.318178961521867
ENSG00000005059	MCUB	0.1	0.729735167733984	0.1	0.518242166632089	0.1	0.548320131089252	0.1	0.6798865190422		
ENSG00000005075	POLR2J	0.2	0.457916307591396	-0.2	0.454878311587419	-0.2	0.405988765962917			0.2	0.463246522657926
ENSG00000005102	MEOX1	0.2	0.362008298990406	0.3	0.252334749418208	0.2	0.513400519085337	0.2	0.559275626947832		
ENSG00000005108	THSD7A	0.2	0.659867074779634	0.1	0.892480299414074			-0.3	0.587874866208179	-0.4	0.445872607921061
ENSG00000005156	LIG3	-0.2	0.0193773539458307	-0.1	0.722047978951956	-0.2	0.0814937217852957	-0.1	0.475588388298694	-0.3	0.0127043499591617
ENSG00000005175	RPAP3	0.3	0.00700343495027551	0.2	0.0696368498747575	0.3	0.0160977842040603	0.3	0.0574682332465399	0.1	0.42885778949893
ENSG00000005187	ACSM3	-0.1	0.77811505791917			-0.2	0.352947185850443			-0.2	0.306749173200856
ENSG00000005189	REXO5	0.1	0.56680989951744	-0.1	0.864495440193009	-0.1	0.85299070773056	0.1	0.833827168141094	0.2	0.601625619379496
ENSG00000005194	CIAPIN1			-0.1	0.728982872235635	-0.1	0.421889677266929			-0.1	0.2969942984036
ENSG00000005206	SPPL2B	-0.4	0.0880083265713548			-0.3	0.2947467630084	-0.3	0.325615856784879	-0.7	0.00210947122810126
ENSG00000005238	FAM214B	0.5	0.0250819849234093			0.3	0.167263666759945	0.5	0.0532925677177989	0.7	0.00179436114891291
ENSG00000005243	COPZ2	-0.2	0.502390061682337	-0.5	0.0712859459583568	-0.4	0.0987985293034148	-0.4	0.257411181317025	-0.4	0.118535108303836
ENSG00000005249	PRKAR2B	1.0	4.08203325248492E-4	0.5	0.0831352587856397	0.8	0.00478088267198627	0.8	0.0079674497303228	1.3	3.17517538641275E-6
ENSG00000005302	MSL3	0.4	0.0768531002167091	0.1	0.69686171043614	0.3	0.145541036294513	0.6	0.0160457411642451	0.7	0.00179045963169343
ENSG00000005339	CREBBP	0.3	0.162576291114251	0.1	0.438915522363526	0.2	0.252539803187052	0.4	0.0837450722165836	0.2	0.286386164149316
ENSG00000005379	TSPOAP1	-1.2	3.71656369670525E-6	-0.7	9.70454199732208E-4	-0.8	6.76430642018136E-4	-1.1	5.80696584702508E-5	-1.6	6.46834384532667E-10
ENSG00000005381	MPO	0.8	0.038512226517575			0.3	0.45215310499603	0.9	0.0359741152231283	1.1	0.0102357603471058
ENSG00000005436	GCFC2			0.2	0.361377931581496	0.1	0.563990114192602				
ENSG00000005448	WDR54	-0.4	0.0069788838087024	-0.2	0.136744735350524	-0.4	0.029170750770406	-0.4	0.0155696865472071	-0.7	0.00613994975106138
ENSG00000005469	CROT	-0.1	0.345735801286388					-0.2	0.42112632100788	-0.4	0.0357706517044519
ENSG00000005471	ABCB4	-0.2	0.557710455431063	0.2	0.61487406083916			0.1	0.727936704644993	-0.3	0.305301803118725
ENSG00000005483	KMT2E			0.1	0.747073015312978	0.1	0.372530356183452	0.2	0.216735268158554		
ENSG00000005486	RHBDD2	0.1	0.645008450766629	-0.2	0.0712859459583568	-0.2	0.106607831873703	0.1	0.761676106638979	0.2	0.355724136037622
ENSG00000005513	SOX8			0.5	0.0935026359678996	0.1	0.609305409149037			-0.4	0.351288785060657
ENSG00000005700	IBTK	0.1	0.722062235367591	0.2	0.222915449053671	0.1	0.681075327015379	0.2	0.396108541806067	0.2	0.0724637946385396
ENSG00000005801	ZNF195	-0.2	0.0699255030319174					-0.1	0.419816392709453	-0.2	0.0989398299311482
ENSG00000005810	MYCBP2	-0.1	0.43792301429255	0.1	0.600516430055184			0.1	0.716387494161286	-0.2	0.19030022621453
ENSG00000005812	FBXL3	0.5	0.00747709080903922	0.3	0.0532572678139347	0.4	0.0178950951821858	0.5	0.00671530526771218	0.6	7.85538292017286E-6
ENSG00000005844	ITGAL	-0.1	0.210682939697688	-0.3	0.00302246441135374	-0.2	0.0988313442062515	-0.2	0.115570316060344	-0.3	0.0384938530907058
ENSG00000005882	PDK2	-0.3	0.0279235214114101	-0.2	0.33307310618692	-0.3	0.0964014089108042	-0.3	0.0666751071269064	-0.4	0.00662583405271994
ENSG00000005884	ITGA3	-0.4	0.0172745253440363	-0.1	0.634960670364662	-0.3	0.0675895023245262	-0.4	0.0474043885123214	-0.3	0.133501080570742
ENSG00000005889	ZFX			0.2	0.425452204567907	0.3	0.011779173152493	0.3	0.159655364363094	0.1	0.594925497812974
ENSG00000005893	LAMP2	0.7	0.0015877514268042	0.2	0.322566002874605	0.5	0.0225152482378872	0.7	0.00671788467082685	0.8	1.32254100790123E-5
ENSG00000005961	ITGA2B	0.9	0.00585711677991663	0.1	0.782804922081382	0.6	0.0430910714416291	0.8	0.0416828593826042	1.0	0.00436426315702945
ENSG00000006007	GDE1	0.6	9.56634575585157E-4	0.1	0.669725614437895	0.2	0.14879367561539	0.4	0.0613458704075597	0.7	5.90415016143853E-5
ENSG00000006015	REX1BD	-0.2	0.478144816403987			-0.2	0.315957806471592	-0.2	0.662668912750071	-0.6	0.00429298579771551
ENSG00000006016	CRLF1	-0.5	0.210057074474579	-0.1	0.892480299414074			-0.2	0.771225959526095	-0.4	0.503529497074121
ENSG00000006025	OSBPL7	-0.5	0.00134547681464503	-0.2	0.406040444663421	-0.3	0.0562855824157691	-0.5	0.00681774759030975	-0.8	5.19717437651388E-6
ENSG00000006042	TMEM98									0.5	0.442978403845512
ENSG00000006062	MAP3K14	-0.1	0.142848727838155			-0.2	0.137014150345759	-0.2	0.0662849275565175	-0.3	0.024986984267986
ENSG00000006118	TMEM132A	0.1	0.786045474155178							0.7	0.214988615083515
ENSG00000006125	AP2B1	-0.1	0.461212120601907	-0.1	0.412440764758344	-0.1	0.289480012670448				
ENSG00000006194	ZNF263	-0.3	0.00162220103299193	-0.1	0.501012430818038	-0.1	0.0730762363894368	-0.3	0.0395666408427431	-0.4	7.67790530518994E-5
ENSG00000006282	SPATA20	-0.3	0.332941300169198	-0.2	0.479715796560715	-0.4	0.134414852377236	-0.7	0.0428455167418931	-0.4	0.243755067955018
ENSG00000006327	TNFRSF12A	0.7	0.0128736941334752	0.1	0.881905408978113	0.3	0.342833913180587	0.3	0.40093017086757	0.5	0.0761981072753591
ENSG00000006432	MAP3K9	-0.3	0.18034534744426	0.1	0.809066216999995	-0.2	0.251415580215159	-0.2	0.42702864220865	-0.4	0.0425275474443429
ENSG00000006451	RALA	0.1	0.258825786236414	0.2	0.211622841913561	0.1	0.365488196946762	0.1	0.404314779654811	0.2	0.183390587692553
ENSG00000006453	BAIAP2L1	-0.1	0.851054561429434	-0.2	0.572192863045345	-0.1	0.692546112245209				
ENSG00000006459	KDM7A	0.5	0.00677581220971633	0.3	0.0129692814956495	0.4	0.00356951640273944	0.6	0.00539697312141894	0.7	2.56884478309083E-5
ENSG00000006530	AGK	-0.2	0.0408715657435561	-0.1	0.775504295563938	-0.1	0.663604850713552	-0.1	0.68558376612778	-0.4	2.61251730396269E-4
ENSG00000006534	ALDH3B1	0.2	0.266348249404561	-0.2	0.450072316136783	-0.1	0.801860818901523	0.1	0.711833594757552	0.3	0.120174360260921
ENSG00000006555	TTC22	-0.4	0.018463189111228	-0.4	0.0331784191440962	-0.4	0.0103610092645645	-0.4	0.0126185440935644	-0.7	6.93888077121488E-4
ENSG00000006576	PHTF2	0.1	0.693973416763054	0.2	0.210651460975405	0.2	0.34506914042303	0.1	0.517930283285732	0.1	0.576032788296577
ENSG00000006607	FARP2	-0.2	0.154771572103809			-0.2	0.128113699876383	-0.2	0.25635193153239	-0.2	0.179881833778156
ENSG00000006625	GGCT	0.1	0.427078687926399	0.1	0.793477895676146			0.1	0.689944471531104		
ENSG00000006634	DBF4			0.2	0.241844670943325	0.1	0.459504450879098	0.1	0.577288533446568	0.1	0.794335807375076
ENSG00000006638	TBXA2R	0.1	0.715699780690497	0.3	0.1498358332774	0.1	0.742466800805115	0.3	0.352421921649703	0.1	0.742310021140146
ENSG00000006652	IFRD1	0.6	0.00979404828041051	0.2	0.364462438112166	0.5	0.0445564809746269	0.6	0.0259944693142424	0.9	2.04421069032938E-4
ENSG00000006695	COX10	-0.1	0.333519524946655			-0.2	0.187787226841761	-0.1	0.69521954904446	-0.2	0.179126459960739
ENSG00000006704	GTF2IRD1	0.1	0.829566556711							0.2	0.689793486076762
ENSG00000006712	PAF1	0.1	0.441392843759492	-0.1	0.359702629689148			0.1	0.518292577290694		
ENSG00000006715	VPS41	0.1	0.274769399319147	0.1	0.724752584606582	0.1	0.265657473981126	0.2	0.173854576296476	0.1	0.178094173635639
ENSG00000006740	ARHGAP44	-0.6	0.0309507678727101	-0.3	0.387434406439248	-0.3	0.20242354262686	-0.6	0.0793428229542023	-0.2	0.531779983370581
ENSG00000006744	ELAC2	-0.2	0.158360430118081	-0.1	0.580802569992583	-0.2	0.0953359577161286	-0.2	0.272548345354737	-0.2	0.00629784333899961
ENSG00000006747	SCIN	-0.3	0.507902611428487	0.2	0.585233330212378					0.2	0.758046062988443
ENSG00000006756	ARSD	0.1	0.748303504397994	-0.2	0.346769749933295	0.1	0.797946401012816			0.1	0.537974492023595
ENSG00000006757	PNPLA4							-0.1	0.712528286666549		
ENSG00000006831	ADIPOR2	0.1	0.0262039012823585	-0.1	0.55124027213528			0.1	0.324158986610933	0.1	0.108993514212894
ENSG00000006837	CDKL3	-0.1	0.787630022783421	0.2	0.634133792975619					-0.5	0.352001430986339
ENSG00000007038	PRSS21	0.2	0.568171883863004	0.2	0.714158066042091					0.1	0.819946734480034
ENSG00000007047	MARK4	0.2	0.213750153958024	-0.1	0.697948051227823			0.1	0.755087860870843	0.2	0.0754880921778867
ENSG00000007062	PROM1	0.4	0.368912459106139							0.1	0.856909481238905
ENSG00000007080	CCDC124			-0.1	0.713540093399233	-0.3	0.107740461811656	-0.1	0.68487528096693	-0.1	0.476914234166063
ENSG00000007129	CEACAM21	0.1	0.58717808508842					0.1	0.776714546596674	0.3	0.263034091403641
ENSG00000007168	PAFAH1B1	0.2	0.0191288454610778	0.1	0.285433579733468	0.1	0.0522552035560028	0.3	0.0125865123072692	0.3	2.72706583514748E-4
ENSG00000007202	KIAA0100	-0.1	0.535486234163204			-0.1	0.433118653736969	-0.1	0.567539920374301		
ENSG00000007237	GAS7	0.4	0.0550197900924074	-0.1	0.855907299601345	0.1	0.78320331937106	0.8	0.00790522711440828	1.0	2.62380876519171E-4
ENSG00000007255	TRAPPC6A	-0.2	0.416939396885028	-0.1	0.634676132432095	-0.4	0.105293711402671	-0.3	0.173104783343364	-0.4	0.0420918430650378
ENSG00000007264	MATK	-0.6	0.0225324983444381	-0.6	0.00303529366666371	-0.8	0.00334721216600622	-0.9	0.00446995717759127	-1.3	5.01405958755054E-6
ENSG00000007312	CD79B	-0.3	0.365545231835687	-0.1	0.871523404115818	-0.3	0.147095591064958	-0.1	0.714000124224895	-0.4	0.23967556343044
ENSG00000007314	SCN4A	-0.5	0.144802543377167	-0.1	0.91077557582433	-0.2	0.508127650625076	-0.2	0.638672348024974	-0.5	0.19134579966462
ENSG00000007341	ST7L			0.1	0.708200120696646	0.2	0.12659271129506	0.1	0.616154580008762	0.1	0.507855961623097
ENSG00000007350	TKTL1	-0.2	0.502988715390665	-0.4	0.133189566742291	-0.5	0.0187815239089592	-0.3	0.23504686751874	-0.6	0.0123514661406696
ENSG00000007376	RPUSD1					-0.3	0.17814828479203	-0.2	0.493851282849654	-0.3	0.0768741943530621
ENSG00000007392	LUC7L	-0.3	0.0482150425887107	0.1	0.731271709913046			-0.2	0.419816392709453	-0.4	0.00916623183216114
ENSG00000007402	CACNA2D2	-0.7	0.0112966285439709	-0.6	0.0102090301945619	-0.7	0.003880136189707	-1.1	0.00135578830264886	-1.6	7.63289792764511E-8
ENSG00000007516	BAIAP3	-0.1	0.822555849403076	-0.1	0.844944954531852					-0.3	0.563120814992298
ENSG00000007520	TSR3			-0.1	0.547552762197257	-0.3	0.11510954863436	-0.2	0.618973468662736	-0.1	0.68782378093599
ENSG00000007541	PIGQ	-0.3	0.131978533042114	-0.2	0.390166944709214	-0.4	0.0674648796399022	-0.3	0.146954558604634	-0.3	0.00743478882640838
ENSG00000007545	CRAMP1	-0.2	0.0790060734127605	-0.1	0.591765615553471	-0.1	0.362891552416615	-0.1	0.523056528936183	-0.2	0.0681062009031987
ENSG00000007866	TEAD3	0.6	0.113335171770338					0.8	0.0703067144733632	1.4	0.00120060425141708
ENSG00000007923	DNAJC11	-0.2	0.0317990697988502	-0.1	0.68819607955252	-0.1	0.172099950974463	-0.2	0.102278771952264	-0.3	0.00426688763588389
ENSG00000007944	MYLIP	0.4	0.0265993593916606	0.1	0.420652846966875	0.2	0.107838115850787	0.5	0.0262478610468784	0.4	0.06889444158521
ENSG00000007952	NOX1	0.1	0.905720230977883					-0.2	0.779571725321515		
ENSG00000007968	E2F2	0.4	0.0380172938798151	0.1	0.687748245747778	0.1	0.671363558876541	0.7	0.0128949092996093	1.0	1.45907921242022E-4
ENSG00000008018	PSMB1	0.2	0.0560210530277803	-0.1	0.522501291775604					0.1	0.266703404919538
ENSG00000008056	SYN1	0.1	0.744954802841447			-0.1	0.816834522724392				
ENSG00000008083	JARID2	0.1	0.397934129756669	0.1	0.621312153353508	0.2	0.243340717978412	0.1	0.621634038617593		
ENSG00000008086	CDKL5	0.4	0.0648517928591063	0.2	0.237917706024296	0.4	0.0366351324923879	0.6	0.0181665148741887	0.6	4.8924700248315E-4
ENSG00000008128	CDK11A	-0.1	0.620385730675464			0.1	0.729488603030133	-0.2	0.497162456833082	-0.1	0.647618941430187
ENSG00000008130	NADK	0.4	0.058586744516114	0.1	0.73390652067135	0.3	0.242527169177958	0.5	0.0739400343509653	0.5	0.0289478452131308
ENSG00000008226	DLEC1	-0.5	0.0228789676975181	-0.1	0.709564293823608	-0.1	0.827725052886593	-0.2	0.531597093809122	-0.6	0.0209879164520773
ENSG00000008256	CYTH3	-0.2	0.204585543046572	-0.1	0.720283436030004	-0.1	0.4234578626572	-0.3	0.0805001625323263	-0.3	0.126168595892643
ENSG00000008277	ADAM22	-0.4	0.0662145367833797	-0.1	0.650816974884301	-0.2	0.289055116962839	-0.3	0.302453975517181	-0.4	0.0968847597862319
ENSG00000008282	SYPL1	0.1	0.342092821970655	0.2	0.458588790218977	0.1	0.447005555601361	0.2	0.334810428385641	0.3	0.0433271248979206
ENSG00000008283	CYB561			-0.2	0.357591132376053	-0.2	0.131515505564756	-0.5	0.0785338214935322	-0.6	0.0198245960348342
ENSG00000008294	SPAG9	0.3	0.0955276029953054	0.2	0.387377674412347	0.4	0.0445564809746269	0.5	0.033594729058001	0.3	0.113747248273688
ENSG00000008300	CELSR3	-0.2	0.245057979067748	0.2	0.555358569382598	-0.1	0.736810794423747	-0.1	0.696027642265447	-0.7	0.0124336259388309
ENSG00000008311	AASS	-0.2	0.383183608805117	0.1	0.816793219895218			-0.2	0.717535689317013	-0.3	0.369107040321557
ENSG00000008323	PLEKHG6	0.4	0.262313755209984	0.1	0.922072331038407			0.4	0.275955437420519	0.2	0.770754614484973
ENSG00000008324	SS18L2	0.2	0.197880515205738			0.1	0.707923750893533	0.1	0.717998989347693	0.1	0.707875104944522
ENSG00000008382	MPND	0.1	0.386455699492758			-0.1	0.521113091110436	-0.1	0.806664328505565	0.1	0.605966255119913
ENSG00000008394	MGST1	0.5	0.0151487798663061			0.3	0.188196597495729	0.4	0.13589884722662	1.1	1.68845508339203E-4
ENSG00000008405	CRY1	-0.2	0.0839362329387322			-0.1	0.260782723737431	-0.2	0.19359527379657	-0.4	0.0351946318040316
ENSG00000008438	PGLYRP1	1.1	0.00292762837860984	0.1	0.860495888294974	0.3	0.333585446862721	1.0	0.0195614529019076	1.9	1.49580527145253E-5
ENSG00000008441	NFIX	0.3	0.337810880166746					0.4	0.269523816318971	0.5	0.12751009615919
ENSG00000008513	ST3GAL1							0.2	0.143442645085977		
ENSG00000008516	MMP25	0.5	0.073849845244374	0.1	0.800359790213974	0.3	0.360553719560493	0.7	0.0789635535530769	0.8	0.0107576833062753
ENSG00000008517	IL32	-0.4	0.0989841337504082	-0.4	0.0245237260588046	-0.5	0.0133850222247707	-0.5	0.0424526671262803	-0.8	0.00640235704337798
ENSG00000008710	PKD1	-0.5	0.0547790968460314			-0.4	0.138403936139777	-0.4	0.169996083157894	-0.7	0.00190438723889813
ENSG00000008735	MAPK8IP2	0.1	0.790682106121632			0.1	0.736810794423747	0.1	0.794694769011245		
ENSG00000008838	MED24	-0.3	0.00994136068083708	-0.1	0.345807519220411	-0.3	0.038602363045644	-0.2	0.0828870751905732	-0.3	0.0012169623709941
ENSG00000008853	RHOBTB2	-0.2	0.080641391984522	-0.1	0.742164424118476	-0.3	0.0802510350657821	-0.3	0.107221225372418	-0.2	0.499732972138569
ENSG00000008869	HEATR5B	-0.2	0.107059697563587			-0.1	0.523533380772532			-0.3	0.00337018127829558
ENSG00000008952	SEC62	0.3	0.0262657676371952	0.1	0.710353077775033	0.2	0.167816743571562	0.4	0.040925258270336	0.6	0.00110807905243939
ENSG00000008988	RPS20	0.1	0.534603111015804	0.1	0.648473155782201	0.1	0.707578570581614			-0.1	0.779999046198556
